name,Strikes Landed,Strikes Attempted,Takedowns Landed,Takedowns Attempted,Significant strikes per Minute,Significant strikes Absorbed per minute,Takedown Average,Submission Average,Significant Strike Defense,Takedown Defense,Knockdown Average,Average Fight Time,Standing Position Strikes,Clinch Position Strikes,Ground Position Strikes,Wins by KO,Wins by Submission,Wins by Decision,Strikes to Head,Strikes To Body,Strikes To Leg,wins,losses,draws,Win percentage,Striking Accuracy,Takedown Accuracy,Total Fights
Alatengheili,174,526,3.0,21,2.86,5.07,1.73,0.0,0.59,0.73,0.25,12.15,0.97,0.01,0.02,0.33,0.47,0.2,120.0,33.0,21.0,15,8,2,0.6,0.3307984790874524,0.1428571428571428,25
Yoshihiro Akiyama,466,1122,12.0,34,3.1,3.62,2.29,1.0,0.58,0.93,0.4,6.83,0.68,0.06,0.26,0.0,0.0,0.0,374.0,27.0,65.0,15,6,0,0.7142857142857143,0.4153297682709447,0.3529411764705882,21
Razak Al-Hassan,44,135,0.0,5,2.31,3.78,0.79,0.0,0.6,0.57,0.0,9.53,0.86,0.14,0.0,0.0,0.0,0.0,18.0,9.0,17.0,7,2,0,0.7777777777777778,0.3259259259259259,0.0,9
Christian Aguilera,27,72,0.0,1,2.54,4.04,0.0,0.0,0.49,0.6,0.0,3.55,1.0,0.0,0.0,0.73,0.27,0.0,16.0,3.0,8.0,14,8,0,0.6363636363636364,0.375,0.0,22
Kevin Aguilar,370,924,0.0,6,3.96,4.81,0.16,0.0,0.52,0.79,0.32,13.33,0.87,0.08,0.05,0.53,0.35,0.12,224.0,126.0,20.0,17,5,0,0.7727272727272727,0.4004329004329004,0.0,22
Amir Albazi,80,197,3.0,4,4.06,3.15,2.28,0.76,0.58,0.67,0.0,9.85,0.93,0.03,0.05,0.29,0.14,0.57,48.0,17.0,15.0,14,1,0,0.9333333333333332,0.4060913705583756,0.75,15
John Albert,67,135,0.0,3,3.05,2.82,0.0,6.14,0.35,0.5,0.68,4.4,0.51,0.22,0.27,0.0,0.0,0.0,44.0,16.0,7.0,7,5,0,0.5833333333333334,0.4962962962962963,0.0,12
Irene Aldana,773,1962,2.0,4,5.61,5.94,0.22,0.11,0.61,0.84,0.22,13.78,0.88,0.06,0.06,0.54,0.23,0.23,525.0,105.0,143.0,13,6,0,0.6842105263157895,0.3939857288481141,0.5,19
Gilbert Aldana,34,62,0.0,5,2.91,6.26,2.57,0.0,0.26,0.33,0.0,5.83,0.18,0.56,0.26,0.0,0.0,0.0,24.0,6.0,4.0,5,0,0,1.0,0.5483870967741935,0.0,5
Iuri Alcantara,483,1057,17.0,27,2.72,2.79,1.44,0.84,0.49,0.6,0.42,9.35,0.63,0.09,0.28,0.0,0.0,0.0,316.0,130.0,37.0,35,10,0,0.7777777777777778,0.4569536423841059,0.6296296296296297,45
Alexandra Albu,191,405,5.0,12,4.83,5.56,2.27,0.38,0.39,0.78,0.0,9.9,0.59,0.32,0.09,0.57,0.14,0.29,138.0,45.0,8.0,7,2,0,0.7777777777777778,0.4716049382716049,0.4166666666666667,9
Junior Albini,116,227,1.0,8,3.98,6.08,1.54,0.0,0.52,1.0,0.51,5.83,0.78,0.19,0.03,0.43,0.14,0.43,70.0,27.0,19.0,14,6,0,0.7,0.5110132158590308,0.125,20
JJ Aldrich,610,1351,1.0,24,4.05,4.54,0.9,0.0,0.61,0.76,0.0,13.7,0.81,0.13,0.06,0.18,0.82,0.0,495.0,81.0,34.0,11,5,0,0.6875,0.4515173945225759,0.0416666666666666,16
José Aldo,1383,3002,12.0,24,3.61,3.74,0.51,0.16,0.61,0.91,0.43,14.18,0.86,0.04,0.1,0.57,0.4,0.03,923.0,256.0,204.0,31,7,0,0.8157894736842105,0.4606928714190539,0.5,38
Houston Alexander,92,165,0.0,1,3.64,6.38,0.59,0.0,0.53,0.33,1.78,4.22,0.49,0.26,0.25,0.0,0.0,0.0,49.0,7.0,36.0,9,5,0,0.6428571428571429,0.5575757575757576,0.0,14
Marcio Alexandre,68,151,1.0,5,1.61,2.89,0.35,0.71,0.42,0.67,0.0,10.57,0.75,0.13,0.12,0.77,0.08,0.15,36.0,26.0,6.0,13,3,0,0.8125,0.4503311258278146,0.2,16
Bill Algeo,469,863,4.0,10,5.73,4.18,0.92,0.0,0.43,0.55,0.0,13.63,0.74,0.15,0.11,0.25,0.38,0.38,304.0,109.0,56.0,16,6,0,0.7272727272727273,0.5434530706836617,0.4,22
Abdul Razak Alhassan,257,533,1.0,11,3.57,4.06,1.04,0.0,0.56,0.53,1.88,6.53,0.75,0.14,0.11,1.0,0.0,0.0,202.0,26.0,29.0,11,5,0,0.6875,0.4821763602251407,0.0909090909090909,16
John Alessio,273,697,2.0,42,2.1,2.91,1.85,1.16,0.55,0.71,0.12,9.98,0.49,0.22,0.29,0.0,0.0,0.0,197.0,29.0,47.0,34,16,0,0.68,0.3916786226685796,0.0476190476190476,50
Sultan Aliev,60,131,3.0,13,1.41,2.2,1.76,0.0,0.57,1.0,0.0,10.68,0.62,0.22,0.17,0.71,0.29,0.0,51.0,7.0,2.0,15,3,0,0.8333333333333334,0.4580152671755725,0.2307692307692307,18
Ericka Almeida,32,81,0.0,3,1.07,3.33,0.5,0.0,0.44,0.38,0.0,15.0,0.5,0.41,0.09,0.14,0.0,0.86,23.0,7.0,2.0,7,2,0,0.7777777777777778,0.3950617283950617,0.0,9
Benny Alloway,31,63,0.0,2,1.28,1.9,0.62,0.0,0.59,0.27,0.62,8.08,0.65,0.16,0.19,0.46,0.23,0.31,18.0,8.0,5.0,13,6,0,0.6842105263157895,0.492063492063492,0.0,19
Arnold Allen,387,917,8.0,22,3.31,2.22,1.41,0.38,0.67,0.76,0.38,12.98,0.88,0.05,0.08,0.33,0.44,0.22,291.0,68.0,28.0,18,1,0,0.9473684210526316,0.4220283533260632,0.3636363636363636,19
Thomas Almeida,435,1000,0.0,7,4.84,4.93,0.17,0.0,0.62,0.76,0.5,9.0,0.89,0.1,0.0,0.77,0.05,0.18,261.0,80.0,94.0,22,5,0,0.8148148148148148,0.435,0.0,27
Brendan Allen,363,656,2.0,17,4.15,4.18,1.2,1.37,0.44,0.5,0.52,8.73,0.74,0.08,0.18,0.1,0.69,0.2,219.0,91.0,53.0,19,5,0,0.7916666666666666,0.5533536585365854,0.1176470588235294,24
John Allan,191,449,4.0,7,3.56,5.74,1.4,0.84,0.52,0.5,0.0,13.42,0.85,0.07,0.08,0.69,0.08,0.23,117.0,34.0,40.0,13,7,0,0.65,0.4253897550111358,0.5714285714285714,20
Lucas Almeida,171,359,0.0,0,6.6,5.63,0.0,0.0,0.48,0.5,1.16,12.97,0.84,0.04,0.12,0.62,0.0,0.38,89.0,34.0,48.0,14,1,0,0.9333333333333332,0.4763231197771588,0.0,15
